caption,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,ownerFullName,url,inputUrl,ownerUsername
"Drink photography is all about the little things- that perfect pour, soft highlights, and the condensation that hints at an ice-cold glass.

Shot for Marks & Spencer, this Champagne Oudinet set was all about subtlety: a gentle lifestyle feel, soft pastels, and lots of options for the party ahead.

Loved working with these gorgeous pink tones and hints of champagne gold in the labels — elegant, celebratory, and quietly luxurious.

Enjoy the bank holiday! ✨

#DrinkPhotography #ChampagneOudinet #MarksAndSpencer #FoodAndDrinkStyling #StillLifePhotography #CommercialPhotography #SetDesign #CreativeDirection #ViralShoot #PhotographerLife #OnSet #FMCG",3,DrinkPhotography,ChampagneOudinet,MarksAndSpencer,FoodAndDrinkStyling,StillLifePhotography,CommercialPhotography,SetDesign,CreativeDirection,ViralShoot,PhotographerLife,OnSet,FMCG,,,,,,,,,,,,,,,,,,,,,,,,,,0,Malou Burger,https://www.instagram.com/p/DJ9DV8-vujP/,https://www.instagram.com/explore/tags/Marksandspencer,malouburgerphoto
"PR Masterclass: Marks & Spencer’s “This is Not Just Food…” 
Back in 2004, M&S pulled off a brand reset for the ages.
Sales were stalling. The sparkle was fading.
Then came a sultry voiceover, slow-mo gravy pours, and food that flirted with the camera.
“This isn’t just food… this is M&S food.”
The result?
• Sales surged 
• The public quoted it ️
• Parodies went viral
• M&S became premium again
Why it worked:
• Emotional storytelling
• A clear, confident voice
• Sold a feeling, not just a product
• Every bite became a brand moment
This didn’t just sell food—it reshaped the brand’s place in British culture.
#PRMasterclass #UKAdvertising #BrandStorytelling #PublicRelations #FoodPorn #MarksAndSpencer #ThisIsNotJustFood #PitchAndProtect #CommsWin",,PRMasterclass,UKAdvertising,BrandStorytelling,PublicRelations,FoodPorn,MarksAndSpencer,ThisIsNotJustFood,PitchAndProtect,CommsWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,https://www.instagram.com/p/DJ9B-ZvOHnS/,https://www.instagram.com/explore/tags/Marksandspencer,pitchandprotect
"Meal no.1 - Brioche Roll, filled with seasoned scrambled eggs..

.
.
It’s giving late breakfast vibes — and you already know what’s on the plate: Agege bread and egg 

Fluffy, filling, full of flavor — it’s not always the healthiest, but it hits different. As a proud African Nigerian, this combo is a classic.

Don’t sleep on it! Try it once and you’ll get it.
Want to level it up? Throw in some chicken sausage, baked beans, or your fave protein.
It’s warm, it’s cozy, and it tastes like home.

Perfect with a hot cup of Milo or Bournvita — trust me, that’s the full experience.

Taste Nigeria  in M&S food hall ✨

@marksandspencer
@marksandspencerfood 

#nigerianbreakfast #themandsedit #marksandspencer #mandsfood #localnigerianfood #bukaofmands #myversion #food #healthiswealthfitness #calories #ılovefood #viberightnow #foodsneh",6,nigerianbreakfast,themandsedit,marksandspencer,mandsfood,localnigerianfood,bukaofmands,myversion,food,healthiswealthfitness,calories,ılovefood,viberightnow,foodsneh,,,,,,,,,,,,,,,,,,267690981,marksandspencer,marksandspencerfood,,,,,1,The M&S Edit,https://www.instagram.com/p/DJ8_v22sI1u/,https://www.instagram.com/explore/tags/Marksandspencer,themandsedit
M&S cafe Aberystwyth this morning. Technical pen and brush pens on paper napkin. #Aberystwyth #marksandspencer #marksandspenceraberystwyth #urbansketching #urbansketch #urbansketcher #coffeeshopsketches,1,Aberystwyth,marksandspencer,marksandspenceraberystwyth,urbansketching,urbansketch,urbansketcher,coffeeshopsketches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Chris Davey urban sketching, printmaking",https://www.instagram.com/p/DJ893ekswhL/,https://www.instagram.com/explore/tags/Marksandspencer,chris_davey_artist_scientist
"夏天就係要食啲透心涼嘅甜品～全新登場嘅 M&S雲呢拿味希臘式乳酪雪糕絕對係甜品新寵！用上希臘式乳酪製成，雲呢拿味夠濃又清爽，低脂無負擔  仲可以配搭鮮果或其他配料，喺屋企都可以 chill 住歎個清新甜品！
 
立即到就近嘅門店選購 。
 
Summer is all about enjoying refreshing treats~  The all-new M&S Greek Style Vanilla Frozen Yogurt is definitely your new dessert favourite! Made with Greek style yogurt, it’s rich in vanilla flavour yet light and refreshing, with low fat and no guilt  It pairs perfectly with fresh fruits or other toppings, allowing you to chill at home and savour a fresh, light dessert!
 
Shop at your nearest M&S Foodhall now!
 
#MarksandSpencer #MandSHK",90,MarksandSpencer,MandSHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M&S Hong Kong & Macau,https://www.instagram.com/p/DJ86eAgN_HO/,https://www.instagram.com/explore/tags/Marksandspencer,marksandspencerhk
"Cyber chaos in the UK’s food supply chain.

Smaller logistics firms like Peter Green Chilled – a distributor for Tesco, Aldi, and Sainsbury’s – are being held ransom by cyber hackers.

Thousands of products may be wasted as ransomware attacks lock companies out of critical systems.

One supplier said, “Ten pallets of meat are just sitting there. The clock is ticking.”

Larger brands like M&S and Co-op have also been hit, exposing customer data and causing shortages.

Experts warn that the supply chain is a major weak spot, and cyber attacks on retailers are ""hugely underreported.""

Half of the UK’s food relies on cold chain logistics — and hackers know it.

It’s not just tech firms at risk!

As soon as we know the Who, why and How, we will update you! 

#CyberSecurity #UKNews #FoodSupply #RetailNews #Hacking #Ransomware #Tesco #Aldi #Sainsburys #MarksandSpencer #CyberAttack #SupplyChain",2,CyberSecurity,UKNews,FoodSupply,RetailNews,Hacking,Ransomware,Tesco,Aldi,Sainsburys,MarksandSpencer,CyberAttack,SupplyChain,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cyber Security ️,https://www.instagram.com/p/DJ80j-Ytqpy/,https://www.instagram.com/explore/tags/Marksandspencer,zero_day_defence
"AA kalite Askılı yırtmaçlı Elbise 
Beden SMLXL2XL3XL

Sipariş için dm den iletişime gecebilirsiniz. 
1000 TL üstü kargo ücretsizdir.

#zara #marksandspencer #streetine #pullandbear #koton #ipekyol #beymen #vakko #Mango #markagiyim #şıklığınadresi#rsbutik #gaziantep #trendgiyim #versace #adilışık #stradivarius #keşvetteyiz #keşfetteyiz 
#ihracatfazlasıürünler #markadünyası 
 #ihracatfazlası 
 #mersin #i̇stanbul #i̇zmir #antalya  #datca #marmarıs #adana #muğlafethiye",4,zara,marksandspencer,streetine,pullandbear,koton,ipekyol,beymen,vakko,Mango,markagiyim,şıklığınadresi,rsbutik,gaziantep,trendgiyim,versace,adilışık,stradivarius,keşvetteyiz,keşfetteyiz,ihracatfazlasıürünler,markadünyası,ihracatfazlası,mersin,i̇stanbul,i̇zmir,antalya,datca,marmarıs,adana,muğlafethiye,,,,,,,,0,(Rahşan Alir),https://www.instagram.com/p/DJ8yiLwMf2n/,https://www.instagram.com/explore/tags/Marksandspencer,rsbutikgaziantep_rahsan_butik
"Cyberangriff auf Marks & Spencer!
➡️ 300 Mio. Pfund Verlust
➡️ Kundendaten gestohlen
➡️ Online-Shop down
Papier & Stift statt IT – der britische Handel wankt.
#Cyberangriff #MarksAndSpencer #Hacking #Datendiebstahl #Einzelhandel #ITSecurity",,Cyberangriff,MarksAndSpencer,Hacking,Datendiebstahl,Einzelhandel,ITSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Die Tageszeichnung,https://www.instagram.com/p/DJ8u3CCpkUt/,https://www.instagram.com/explore/tags/Marksandspencer,dietageszeichnung
"M&S Midi Waisted V Neck Dress 
.
Brand: Marks and Spencers ✨
.
.
Shipping to pakistan straight from the UK 
Don't miss out to elevate your wardrobes with us ✨
.
.
Order now dm for sizes 
.
.
#dresses #mididress #luxurybrand #luxuryclothing #clothingformen #clothingformenandwomen #marksandspencer #jewllery #shoes #makeup #bags #accessories #clothing #hackett #clothingforwomen #dorothyperkins #uk #england #lahore #pakistan",,dresses,mididress,luxurybrand,luxuryclothing,clothingformen,clothingformenandwomen,marksandspencer,jewllery,shoes,makeup,bags,accessories,clothing,hackett,clothingforwomen,dorothyperkins,uk,england,lahore,pakistan,,,,,,,,,,,,,,,,,,0,UK Luxe Cart,https://www.instagram.com/p/DJ8tnPAi95K/,https://www.instagram.com/explore/tags/Marksandspencer,ukluxecart
"Lot # 101
 Used price290-ไม่รวมส่ง
uk10/eu38 เดรสสีดำอก 38 เอว 30 ยาว 46
 #marksandspencer แท้  
ขนส่ง flash 30 เหมา 50 /ลงทะเบียน 30/ ems 50.(สำหรับ 2 ตัว ตัวต่อเพิ่ม 10 บาทนะคะ)
Id ไลน์@ baabrands (มี @ นำหน้า)",,marksandspencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Baa Brands,https://www.instagram.com/p/DJ8teHzR5Io/,https://www.instagram.com/explore/tags/Marksandspencer,baa.brands
"Brining luxury from MARKS & SPENCERS at your doorstep ✨
Order away now ✨
 .
.
Shipping to pakistan straight from the UK 
Don't miss out to elevate your wardrobes with us ✨
.
.
Order now dm for sizes 
.
.
#dresses #mididress #luxurybrand #luxuryclothing #clothingformen #clothingformenandwomen #marksandspencer #jewllery #shoes #makeup #bags #accessories #clothing #hackett #clothingforwomen #dorothyperkins #uk #england #lahore #pakistan",,dresses,mididress,luxurybrand,luxuryclothing,clothingformen,clothingformenandwomen,marksandspencer,jewllery,shoes,makeup,bags,accessories,clothing,hackett,clothingforwomen,dorothyperkins,uk,england,lahore,pakistan,,,,,,,,,,,,,,,,,,0,UK Luxe Cart,https://www.instagram.com/p/DJ8tMI8ixP_/,https://www.instagram.com/explore/tags/Marksandspencer,ukluxecart
"M&S V-neck Strappy  Midaxi Swing dress 
Color: Dark Raspberry 
.
.
Brand: MARKS & SPENCERS London 
.
.
.
.
Shipping to pakistan straight from the UK 
Don't miss out to elevate your wardrobes with us ✨
.
.
Order now dm for sizes 
.
.
#dresses #mididress #luxurybrand #luxuryclothing #clothingformen #clothingformenandwomen #jewllery #marksandspencer #shoes #makeup #bags #accessories #clothing #hackett #clothingforwomen #dorothyperkins #uk #england #pakistan",1,dresses,mididress,luxurybrand,luxuryclothing,clothingformen,clothingformenandwomen,jewllery,marksandspencer,shoes,makeup,bags,accessories,clothing,hackett,clothingforwomen,dorothyperkins,uk,england,pakistan,,,,,,,,,,,,,,,,,,,0,UK Luxe Cart,https://www.instagram.com/p/DJ8ss5YCHlf/,https://www.instagram.com/explore/tags/Marksandspencer,ukluxecart
"AA kalite Askılı yırtmaçlı Elbise 
Beden SMLXL2XL3XL

Sipariş için dm den iletişime gecebilirsiniz. 
1000 TL üstü kargo ücretsizdir.

#zara #marksandspencer #streetine #pullandbear #koton #ipekyol #beymen #vakko #Mango #markagiyim #şıklığınadresi#rsbutik #gaziantep #trendgiyim #versace #adilışık #stradivarius #keşvetteyiz #keşfetteyiz 
#ihracatfazlasıürünler #markadünyası 
 #ihracatfazlası 
 #mersin #i̇stanbul #i̇zmir #antalya  #datca #marmarıs #adana #muğlafethiye",6,zara,marksandspencer,streetine,pullandbear,koton,ipekyol,beymen,vakko,Mango,markagiyim,şıklığınadresi,rsbutik,gaziantep,trendgiyim,versace,adilışık,stradivarius,keşvetteyiz,keşfetteyiz,ihracatfazlasıürünler,markadünyası,ihracatfazlası,mersin,i̇stanbul,i̇zmir,antalya,datca,marmarıs,adana,muğlafethiye,,,,,,,,0,(Rahşan Alir),https://www.instagram.com/p/DJ8ox43MUwj/,https://www.instagram.com/explore/tags/Marksandspencer,rsbutikgaziantep_rahsan_butik
"Halloween Party Bangers at marksandspencerfood 

#halloweencookies #halloweenpartyideas #halloweenpartyfood #halloweenfood #halloweenfoodideas #marksandspencer #mands",,halloweencookies,halloweenpartyideas,halloweenpartyfood,halloweenfood,halloweenfoodideas,marksandspencer,mands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Big Schroeder,https://www.instagram.com/p/DJ8jjIIuOcT/,https://www.instagram.com/explore/tags/Marksandspencer,hinainstyle
"I’m all for the texture this Summer ☀️ 
Especially this easy to wear textured Cuban collar shirt

Cuban collar texture shirt navy mix T25 1280M | £35.00
Denim shorts, straight fit Ecru T17 7850M | £22.00

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you

#mymarks #marksandspencer #mensweardaily #menswear #summer25 #summerlikeyoumeanit",3,mymarks,marksandspencer,mensweardaily,menswear,summer25,summerlikeyoumeanit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,M&S INSIDER - ROB MANNING,https://www.instagram.com/p/DJ8jQpooU7f/,https://www.instagram.com/explore/tags/Marksandspencer,marksandspencer_rob
"Marks & Spencer confirms a major cyberattack disrupted operations, leaving shelves empty and online sales frozen — expected to slash nearly one-third of annual profits, costing the retailer £300M in 2025/26.

#MarksAndSpencer #CyberAttack #RetailNews #M&S #DataBreach #UKRetail #BusinessUpdate #ProfitLoss #RetailSecurity #CyberSecurity #DigitalThreats #MSEarnings",,MarksAndSpencer,CyberAttack,RetailNews,M&S,DataBreach,UKRetail,BusinessUpdate,ProfitLoss,RetailSecurity,CyberSecurity,DigitalThreats,MSEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,0,Inc Feature,https://www.instagram.com/p/DJ8jI0vR6KV/,https://www.instagram.com/explore/tags/Marksandspencer,incfeature
